	feature_list	Value of Off By
85	('prevacc', 'police_Related_drug_involvement')	11.3643160077
86	('driverdrowsy', 'prevacc', 'police_Related_drug_involvement')	11.3643160077
87	('police_Related_drug_involvement', 'dridistract')	1.42829090967
88	('sex', 'prevacc')	3.08864458364
89	('age', 'driverdrowsy', 'police_Related_drug_involvement', 'alcinvol')	724.504458767
90	('age', 'driverdrowsy', 'prevacc')	18.7463231837
91	('age', 'driverdrowsy', 'police_Related_drug_involvement', 'dridistract')	10.7858146772
92	('age', 'prevacc', 'police_Related_drug_involvement', 'alcinvol', 'dridistract')	2607.589206
93	('sex', 'age', 'prevacc', 'alcinvol')	164.528924803
94	('sex', 'driverdrowsy', 'alcinvol')	1.01928140759
95	('sex', 'driverdrowsy', 'prevacc', 'police_Related_drug_involvement')	28.212019719
96	('sex', 'age', 'driverdrowsy', 'police_Related_drug_involvement')	11.0464270065
97	('age', 'police_Related_drug_involvement', 'alcinvol')	724.504458767
98	('driverdrowsy', 'alcinvol')	0.0
99	('driverdrowsy', 'alcinvol', 'dridistract')	2.67880070015
100	('driverdrowsy', 'dridistract')	0.0
101	('age', 'driverdrowsy', 'prevacc', 'alcinvol', 'dridistract')	177.147709388
102	('sex', 'age', 'driverdrowsy', 'prevacc', 'dridistract')	78.5162392548
103	('sex', 'age', 'driverdrowsy', 'dridistract')	1.57248094416
104	('age', 'prevacc')	18.7463231837
105	('driverdrowsy', 'prevacc')	0.0
106	('sex', 'driverdrowsy', 'prevacc', 'police_Related_drug_involvement', 'alcinvol')	1511.24894631
107	('sex', 'dridistract')	0.0213537239886
108	('sex', 'age', 'driverdrowsy', 'prevacc')	32.0790728778
109	('sex', 'age', 'driverdrowsy', 'prevacc', 'alcinvol')	164.528924803
110	('sex', 'driverdrowsy', 'prevacc', 'alcinvol', 'dridistract')	78.8000112539
111	('age', 'driverdrowsy', 'prevacc', 'police_Related_drug_involvement', 'dridistract')	169.016774861
112	('sex', 'driverdrowsy', 'dridistract')	0.0213537239886
113	('age', 'prevacc', 'alcinvol', 'dridistract')	177.147709388
114	('age', 'police_Related_drug_involvement', 'dridistract')	10.7858146772
115	('prevacc', 'police_Related_drug_involvement', 'alcinvol', 'dridistract')	1788.08742883
116	('sex', 'driverdrowsy', 'prevacc', 'police_Related_drug_involvement', 'dridistract')	64.7831761813
117	('age', 'driverdrowsy', 'police_Related_drug_involvement', 'alcinvol', 'dridistract')	1530.97385489
118	('age', 'driverdrowsy', 'alcinvol', 'dridistract')	18.9415180165
